Year,Date,Time,Location, Crash Type ,Crash Type #,Number of IMT Teams,Number of UHP Teams,RT,Response Time IMT,Response Time UHP,RCT for IMT,RCT for  UHP,ICT for IMT,ICT for  UHP,Lanes at Bottleneck,Number of Lanes Closed,,Affected Volume,Total Excess Travel Time,Total Teams,% Trucks, Individual Hourly Cost , Truck Hourly Cost ,AVO,Cost ($),Time Range,Time Range #,Excess Travel Time Per Vehicle (hours) ,T0,T1,T7,T1-T0,T7-T5,T7-T0,T5-T0,T7-T0 mod,
2022,6/7/2022,12:15:17,600 N I15 NB,PI Crash,2,3,8,0.11664,0.000081,0,0.09147,0.09147,0.093981,0.157685,5,1,0.2,11259,170.61,11,13.50%,$17.81 ,$53.69 ,1.34,"$3,522.00 ",Afternoon Off Peak,3,0.015153211,12:15,12:15,14:35,0:00,0:08,2:20,2:12,140,
2022,6/16/2022,19:05:53,274985 I15 SB; MM 275 I15 SB,PI Crash,2,1,2,10.88352,0.007558,0.006782,0.011887,0.011887,0.012778,0.024745,6,1,0.167,2001,0.59,3,4.20%,$17.81 ,$53.69 ,1.36,$13.69 ,Night Off Peak,5,0.000294853,19:05,19:05,19:25,0:00,0:02,0:20,0:18,20,
2022,6/13/2022,9:33:14,I15 SB TO I80 EB                                            ,PI Crash,2,1,3,17.13312,0.011898,0.011412,0.074144,0.074144,0.068704,0.067593,,,#DIV/0!,,,4,,$17.81 ,$53.69 ,1.36, $-   ,Afternoon Off Peak,3,,,9:33,,9:33,###############################################################################################################################################################################################################################################################,0:00,11:20,0,
2022,6/15/2022,17:13:48,500 E I80 WB; SECONDARY xl case 042203729                   ,PI Crash,2,2,5,0.01728,0.000012,0.012199,0.081389,0.081389,0.08235,0.095451,,,#DIV/0!,,,7,,$17.81 ,$53.69 ,#N/A,#N/A,PM Peak,4,,,17:13,,17:13,###############################################################################################################################################################################################################################################################,0:00,19:11,0,
2022,6/15/2022,17:30:09,1200 E I80 WB                                               ,PD Crash,3,1,2,0.01728,0.000012,0.005833,0.005451,0.005451,0.005972,0.055243,,,#DIV/0!,,,3,,$17.81 ,$53.69 ,1.27, $-   ,PM Peak,4,,,17:30,,17:30,###############################################################################################################################################################################################################################################################,0:00,17:38,0,
2022,6/20/2022,10:12:43,9540 E I80 WB; MM 137 I80 WB                                ,PI Crash,2,3,4,7.26624,0.005046,0.012847,0.096725,0.096725,0.10213,0.122986,,,#DIV/0!,,,7,,$17.81 ,$53.69 ,#N/A,#N/A,Afternoon Off Peak,3,,,10:12,,10:12,###############################################################################################################################################################################################################################################################,0:00,12:32,0,
2022,6/20/2022,10:20:41,I80 WB TO I15 NB                                            ,PI Crash,2,1,6,8.88336,0.006169,0.007778,0.155775,0.155775,0.158113,0.154815,,,#DIV/0!,,,7,,$17.81 ,$53.69 ,1.34, $-   ,Afternoon Off Peak,3,,,10:20,,10:20,###############################################################################################################################################################################################################################################################,0:00,14:05,0,
2022,6/23/2022,12:53:18,284049 I15 SB; MM 284 I15 SB                                ,PI Crash,2,1,2,10.19952,0.007083,0.005741,0.019931,0.019931,0.022095,0.049826,,,#DIV/0!,,,3,,$17.81 ,$53.69 ,1.36, $-   ,Afternoon Off Peak,3,,,12:53,,12:53,###############################################################################################################################################################################################################################################################,0:00,13:22,0,
2022,6/24/2022,15:24:21,246957 I15 NB; MM 247 I15 NB                                ,PI Crash,2,1,2,65.00016,0.045139,0.000046,0.015035,0.015035,0.048472,0.073993,,,#DIV/0!,,,3,,$17.81 ,$53.69 ,1.34, $-   ,Afternoon Off Peak,3,,,15:24,,15:24,###############################################################################################################################################################################################################################################################,0:00,15:46,0,
2022,6/2/2022,13:25:11,I215S WB 280 E OFR; moved                                   ,PI Crash,2,2,1,11.3328,0.00787,0.009236,0.011678,0.011678,0.014456,0.050139,,,#DIV/0!,,,3,,$17.81 ,$53.69 ,#N/A,#N/A,Afternoon Off Peak,3,,,13:25,,13:25,###############################################################################################################################################################################################################################################################,0:00,13:42,0,
2022,6/7/2022,6:49:59,271 N I215W SB; MM 23 I215W SB                              ,PI Crash,2,1,2,16.21728,0.011262,0.011493,0.020845,0.020845,0.021539,0.058738,,,#DIV/0!,,,3,,$17.81 ,$53.69 ,1.14, $-   ,AM Peak,2,,,6:49,,6:49,###############################################################################################################################################################################################################################################################,0:00,7:20,0,
2022,6/9/2022,6:47:33,5600 W I80 EB; PAST THE OFR                                 ,PI Crash,2,2,2,23.30064,0.016181,0.012222,0.087118,0.087118,0.087176,0.087199,,,#DIV/0!,,,4,,$17.81 ,$53.69 ,#N/A,#N/A,AM Peak,2,,,6:47,,6:47,###############################################################################################################################################################################################################################################################,0:00,8:53,0,
